id,model,batch,lr,freeze,pretrained,augment,epochs,percval,obs_no,md_z1_trainval,md_z2_trainval,md_test_no,optimizer,img_sz
0,yolo8n,std,std,std,std,std,std,std,0,3500,3500,std,std,std
1,yolo8n,std,std,std,std,std,std,std,std,std,std,std,Adam,std
2,yolo8n,std,std,std,std,std,std,std,std,std,std,std,AdamW,std
3,yolo8n,std,std,std,std,std,std,std,std,std,std,std,std,std
4,yolo8n,std,std,std,std,False,std,std,std,std,std,std,std,std
5,yolo8s,std,std,std,std,std,std,std,std,std,std,std,std,std
6,yolo8m,std,std,std,std,std,std,std,std,std,std,std,std,std
7,yolo5s,std,std,std,std,std,std,std,std,std,std,std,std,std
8,yolo5m,std,std,std,std,std,std,std,std,std,std,std,std,std
9,yolo5l,std,std,std,std,std,std,std,std,std,std,std,std,std
