                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3662,                 2.7004,                 2.0062,                0.00095,                0.10364,                0.00053,                0.00016,                 3.7322,                    inf,                 7.3524,               0.070361,              0.0032932,              0.0032932
                      2,                 2.4645,                  2.694,                 2.1151,                0.01301,                0.23264,                0.00874,                0.00273,                 2.7672,                    inf,                 3.0243,               0.040099,              0.0063641,              0.0063641
                      3,                 2.4074,                 2.5968,                 2.0629,                0.07357,                0.17255,                0.06634,                0.01851,                 2.7477,                 34.791,                 2.7841,              0.0095726,               0.009171,               0.009171
                      4,                 2.3278,                  2.492,                 1.9996,                 0.2935,                0.17916,                0.14399,                0.04764,                 2.4947,                  5.231,                 2.2138,               0.008812,               0.008812,               0.008812
                      5,                 2.3084,                 2.3851,                 1.9316,                 0.3412,                0.23815,                0.22744,                0.07344,                 2.3258,                 5.4077,                 2.0394,               0.008812,               0.008812,               0.008812
                      6,                 2.2528,                 2.3223,                  1.894,                0.45145,                  0.328,                0.31944,                0.10494,                 2.2778,                 2.6621,                 1.9833,               0.008416,               0.008416,               0.008416
                      7,                 2.2078,                  2.246,                 1.8566,                0.39547,                0.29493,                0.27982,                0.08959,                 2.3342,                 2.9726,                 1.9876,                0.00802,                0.00802,                0.00802
                      8,                 2.1836,                 2.2055,                 1.8783,                0.49344,                0.33347,                0.35343,                0.11708,                 2.3421,                 2.6332,                 2.1144,               0.007624,               0.007624,               0.007624
                      9,                 2.1388,                 2.1384,                 1.8041,                0.52801,                0.39526,                0.43096,                0.14827,                 2.1576,                 1.9706,                 1.8694,               0.007228,               0.007228,               0.007228
                     10,                 2.1177,                 2.0858,                 1.7718,                0.42524,                0.41561,                0.36235,                0.12441,                 2.2239,                 2.4582,                 1.8951,               0.006832,               0.006832,               0.006832
                     11,                 2.0962,                 2.0423,                 1.7618,                0.56064,                0.45314,                0.46508,                0.16132,                 2.1743,                 2.0222,                 1.8478,               0.006436,               0.006436,               0.006436
                     12,                 2.0684,                 2.0054,                 1.7488,                0.54461,                0.32745,                0.34041,                0.11844,                 2.2801,                 3.2769,                 2.0081,                0.00604,                0.00604,                0.00604
                     13,                 2.0726,                 1.9918,                 1.7364,                0.63393,                0.51378,                0.53562,                  0.186,                 2.1167,                 1.9906,                 1.8328,               0.005644,               0.005644,               0.005644
                     14,                 2.0439,                 1.9609,                 1.7232,                0.64115,                0.48897,                0.54073,                0.19825,                  2.101,                 2.0951,                 1.8099,               0.005248,               0.005248,               0.005248
                     15,                 2.0188,                 1.9075,                    1.7,                0.67231,                 0.5361,                0.58599,                0.20523,                 2.0904,                 1.7374,                 1.7656,               0.004852,               0.004852,               0.004852
                     16,                 1.9038,                 1.6701,                 1.6319,                 0.6627,                0.52747,                0.53711,                 0.1949,                 2.1068,                 1.6734,                 1.7446,               0.004456,               0.004456,               0.004456
                     17,                  1.889,                 1.5223,                 1.5946,                0.71266,                0.55374,                 0.5975,                0.22928,                 1.9858,                 1.6343,                 1.7162,                0.00406,                0.00406,                0.00406
                     18,                 1.8798,                 1.4739,                  1.598,                0.73013,                0.56725,                0.63755,                0.24513,                 2.0224,                 1.5259,                  1.723,               0.003664,               0.003664,               0.003664
                     19,                 1.8638,                 1.4456,                 1.5862,                0.70737,                0.59299,                0.63041,                0.23332,                 2.0345,                 1.7204,                 1.7331,               0.003268,               0.003268,               0.003268
                     20,                 1.8383,                 1.3837,                 1.5567,                0.76542,                0.58655,                0.65153,                0.24622,                  2.002,                 1.4739,                 1.6894,               0.002872,               0.002872,               0.002872
                     21,                 1.8244,                 1.3703,                 1.5445,                 0.7319,                 0.5656,                0.63114,                0.25962,                 1.9327,                 1.5475,                 1.6379,               0.002476,               0.002476,               0.002476
                     22,                 1.8028,                  1.344,                  1.518,                0.71863,                0.58655,                 0.6404,                0.24994,                 2.0278,                  1.473,                 1.7023,                0.00208,                0.00208,                0.00208
                     23,                  1.771,                 1.2961,                 1.5017,                0.81832,                 0.6307,                0.70244,                0.28625,                 1.8985,                 1.3948,                 1.5986,               0.001684,               0.001684,               0.001684
                     24,                 1.7514,                 1.2633,                 1.4913,                0.80078,                0.64261,                0.71114,                0.29832,                 1.8897,                 1.3339,                 1.5944,               0.001288,               0.001288,               0.001288
                     25,                 1.7484,                 1.2469,                 1.4761,                0.82791,                0.63396,                0.71104,                0.29237,                 1.9213,                 1.3212,                 1.5995,               0.000892,               0.000892,               0.000892
