                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0949,                  2.315,                 1.7076,                0.00446,                0.07718,                0.00166,                0.00046,                 3.7723,                 105.54,                 10.533,               0.070361,              0.0032932,              0.0032932
                      2,                 2.2691,                 2.2588,                 1.8435,                 0.0203,                0.01047,                0.00284,                0.00087,                 3.1587,                 88.702,                 3.5191,               0.040099,              0.0063641,              0.0063641
                      3,                 2.1982,                  2.178,                 1.8124,                0.14219,                0.08269,                0.04208,                 0.0125,                 2.7873,                  12.25,                 2.6283,              0.0095726,               0.009171,               0.009171
                      4,                 2.1693,                  2.113,                  1.767,                0.12437,                 0.1968,                0.06737,                0.02026,                 2.5154,                 9.1939,                  2.439,               0.008812,               0.008812,               0.008812
                      5,                 2.0828,                 1.9987,                 1.7077,                0.13078,                0.16648,                0.06635,                 0.0231,                 2.4386,                 5.2962,                  2.209,               0.008812,               0.008812,               0.008812
                      6,                 2.0213,                 1.8994,                 1.6601,                0.51903,                0.31257,                 0.3345,                0.10948,                 2.2464,                 2.7285,                 2.0037,               0.008416,               0.008416,               0.008416
                      7,                  1.956,                 1.7889,                 1.6084,                0.14658,                0.16207,                0.07677,                0.02959,                 2.3521,                 3.9117,                 2.2772,                0.00802,                0.00802,                0.00802
                      8,                 1.9058,                 1.7325,                 1.5836,                0.62201,                 0.4333,                0.46269,                0.17346,                 2.0515,                 1.9758,                 1.8068,               0.007624,               0.007624,               0.007624
                      9,                   1.86,                 1.6373,                 1.5494,                0.54614,                0.43847,                0.45405,                0.17364,                 2.0336,                 2.0735,                 1.8524,               0.007228,               0.007228,               0.007228
                     10,                 1.8436,                 1.6232,                 1.5224,                0.49973,                0.40077,                0.38929,                0.15779,                 2.0054,                 2.2105,                 1.8059,               0.006832,               0.006832,               0.006832
                     11,                 1.8176,                 1.5741,                 1.5061,                0.63039,                0.48953,                0.52747,                0.21807,                  1.875,                 1.6979,                 1.6628,               0.006436,               0.006436,               0.006436
                     12,                 1.7868,                 1.5233,                 1.4752,                0.67679,                0.55568,                0.57152,                0.23306,                 1.8505,                  1.561,                 1.6301,                0.00604,                0.00604,                0.00604
                     13,                 1.7544,                 1.4639,                 1.4681,                0.60817,                0.54075,                0.54411,                0.23988,                 1.8353,                 1.6018,                 1.6345,               0.005644,               0.005644,               0.005644
                     14,                 1.7322,                 1.4546,                 1.4511,                0.57337,                0.53418,                0.51095,                0.21245,                 1.8153,                 1.7845,                 1.6235,               0.005248,               0.005248,               0.005248
                     15,                 1.6942,                 1.3895,                 1.4243,                0.69421,                 0.5544,                0.59631,                0.24859,                 1.8175,                 1.6894,                 1.6154,               0.004852,               0.004852,               0.004852
                     16,                 1.7193,                 1.3167,                 1.4206,                0.72653,                0.56725,                0.64321,                0.28908,                 1.7386,                 1.3993,                 1.5371,               0.004456,               0.004456,               0.004456
                     17,                 1.6745,                 1.2337,                  1.396,                0.72667,                0.56009,                 0.6288,                0.29321,                   1.76,                 1.4062,                 1.5509,                0.00406,                0.00406,                0.00406
                     18,                 1.6638,                 1.1919,                  1.379,                0.55359,                0.45529,                 0.4628,                0.19749,                 1.9677,                 1.8606,                  1.772,               0.003664,               0.003664,               0.003664
                     19,                 1.6489,                 1.1716,                 1.3701,                0.74579,                0.64774,                0.65728,                0.30488,                 1.6658,                 1.3252,                  1.479,               0.003268,               0.003268,               0.003268
                     20,                 1.6189,                 1.1295,                 1.3534,                0.75595,                0.61301,                0.68073,                0.30718,                 1.6592,                 1.3208,                 1.4743,               0.002872,               0.002872,               0.002872
                     21,                 1.5948,                 1.1164,                 1.3353,                 0.7827,                0.64334,                0.70565,                0.34837,                 1.5999,                 1.2151,                 1.4328,               0.002476,               0.002476,               0.002476
                     22,                 1.5633,                 1.0841,                 1.3213,                0.75597,                0.64774,                 0.6869,                0.33538,                 1.6441,                 1.1939,                 1.4506,                0.00208,                0.00208,                0.00208
                     23,                 1.5363,                   1.04,                 1.3013,                0.80721,                0.63892,                0.73038,                0.37541,                 1.5611,                  1.132,                 1.4033,               0.001684,               0.001684,               0.001684
                     24,                 1.4994,                 1.0075,                 1.2816,                0.78152,                0.67641,                 0.7094,                0.36779,                 1.5436,                 1.1168,                 1.3968,               0.001288,               0.001288,               0.001288
                     25,                 1.4872,                0.97675,                 1.2703,                0.82287,                0.68121,                0.76081,                0.38672,                 1.5525,                 1.0959,                 1.3991,               0.000892,               0.000892,               0.000892
