                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1864,                 1.5357,                 1.3637,                0.00182,                0.04183,                0.00092,                0.00026,                 3.6233,                    inf,                 2.5323,               0.070129,               0.003319,               0.003319
                      2,                 2.0963,                 1.2916,                 1.3517,                0.76887,                0.64922,                0.66496,                0.20926,                 2.2727,                 3.0134,                 1.5356,               0.039471,              0.0059937,              0.0059937
                      3,                 1.9785,                 1.1709,                 1.2891,                0.65421,                0.63463,                0.63659,                0.25277,                 2.2139,                 2.2285,                  1.477,              0.0081522,              0.0080085,              0.0080085
                      4,                 1.9344,                   1.12,                 1.2648,                0.82735,                0.69934,                0.76912,                0.26782,                 2.1547,                 1.5657,                 1.4419,                0.00703,                0.00703,                0.00703
                      5,                 1.8629,                 1.0588,                 1.2327,                 0.8909,                0.72743,                0.81225,                0.29198,                 2.1806,                 1.3745,                 1.4292,                0.00703,                0.00703,                0.00703
                      6,                  1.795,                 0.9972,                 1.2022,                0.87599,                0.74025,                0.80461,                0.33945,                 1.9967,                  1.446,                 1.3866,                0.00604,                0.00604,                0.00604
                      7,                 1.7527,                0.96546,                 1.1817,                0.93427,                0.74286,                0.84377,                0.39975,                 1.8259,                 1.1657,                 1.3102,                0.00505,                0.00505,                0.00505
                      8,                 1.6981,                0.91833,                 1.1553,                0.93465,                0.75645,                0.85863,                0.42975,                 1.7706,                 1.0917,                 1.2856,                0.00406,                0.00406,                0.00406
                      9,                 1.6485,                0.87661,                 1.1326,                0.88602,                0.78619,                0.86162,                0.43282,                 1.7672,                 1.1454,                 1.2713,                0.00307,                0.00307,                0.00307
                     10,                 1.6064,                0.84525,                 1.1167,                 0.9384,                0.80975,                0.89221,                0.45119,                 1.7287,                0.99114,                 1.2477,                0.00208,                0.00208,                0.00208
