                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4897,                 3.1182,                 2.2681,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070361,              0.0032932,              0.0032932
                      2,                 2.4953,                 2.8243,                 2.2164,                0.00652,                0.10364,                0.00295,                0.00084,                 3.4069,                    inf,                 3.7336,               0.040099,              0.0063641,              0.0063641
                      3,                 2.4273,                 2.7421,                 2.1749,                0.13493,                 0.1301,                0.06122,                0.01841,                 2.7052,                 18.913,                 2.6433,              0.0095726,               0.009171,               0.009171
                      4,                 2.3466,                 2.5938,                 2.0848,                0.11687,                0.19625,                 0.0612,                0.02003,                 2.6233,                 6.3691,                 2.4356,               0.008812,               0.008812,               0.008812
                      5,                 2.3122,                 2.4863,                 2.0197,                0.36909,                0.24587,                0.22022,                0.07339,                 2.4986,                 3.2486,                 2.3485,               0.008812,               0.008812,               0.008812
                      6,                 2.2517,                  2.376,                 1.9657,                 0.2548,                0.20838,                0.14179,                0.04508,                 2.3927,                 4.5207,                 2.1408,               0.008416,               0.008416,               0.008416
                      7,                 2.2115,                 2.3011,                 1.9237,                0.45947,                0.15136,                0.16001,                0.05425,                 2.4724,                  5.747,                 2.2083,                0.00802,                0.00802,                0.00802
                      8,                 2.1564,                  2.236,                 1.9078,                0.54827,                0.32919,                0.33463,                0.11447,                 2.3495,                 2.8186,                 2.1494,               0.007624,               0.007624,               0.007624
                      9,                 2.1293,                 2.1773,                 1.8443,                0.57676,                0.32678,                 0.3624,                 0.1311,                 2.3279,                 2.4464,                 2.1158,               0.007228,               0.007228,               0.007228
                     10,                 2.0862,                 2.0801,                 1.8086,                0.47862,                0.33682,                0.35727,                0.12617,                 2.2209,                 2.3122,                 1.9415,               0.006832,               0.006832,               0.006832
                     11,                 2.0755,                 2.0971,                 1.8196,                0.51951,                0.40829,                0.43255,                0.13917,                 2.2376,                 2.4243,                 1.9433,               0.006436,               0.006436,               0.006436
                     12,                 2.0646,                 2.0365,                 1.7908,                 0.2873,                0.36978,                 0.1979,                0.07144,                 2.1641,                 4.0716,                  1.967,                0.00604,                0.00604,                0.00604
                     13,                  2.049,                 2.0019,                 1.7778,                0.55881,                0.51103,                0.50394,                0.17848,                  2.005,                 2.5509,                  1.787,               0.005644,               0.005644,               0.005644
                     14,                  2.022,                 1.9724,                 1.7612,                0.59219,                0.35782,                0.41099,                0.14332,                 2.2314,                 2.4625,                 2.0479,               0.005248,               0.005248,               0.005248
                     15,                 1.9848,                 1.8856,                  1.722,                0.60303,                0.50331,                0.49936,                0.18476,                 2.0453,                  2.198,                 1.7988,               0.004852,               0.004852,               0.004852
                     16,                 1.9112,                 1.6531,                 1.6607,                0.69428,                0.51579,                0.57589,                 0.2188,                 2.0499,                 1.6917,                 1.8098,               0.004456,               0.004456,               0.004456
                     17,                 1.8717,                 1.5001,                 1.6204,                0.67248,                0.56009,                0.61157,                0.25123,                  1.947,                 1.5518,                  1.734,                0.00406,                0.00406,                0.00406
                     18,                 1.8418,                 1.4441,                 1.6009,                   0.64,                0.49099,                0.53094,                0.18979,                 2.1375,                 1.8196,                 1.8645,               0.003664,               0.003664,               0.003664
                     19,                 1.8321,                 1.4163,                 1.5985,                0.67933,                0.57993,                0.63732,                0.24668,                 2.0105,                 1.5355,                 1.7536,               0.003268,               0.003268,               0.003268
                     20,                  1.797,                 1.3617,                 1.5578,                 0.7244,                0.59537,                0.65167,                0.26828,                 1.9197,                 1.4384,                 1.6888,               0.002872,               0.002872,               0.002872
                     21,                 1.7903,                 1.3352,                 1.5606,                0.76042,                0.61246,                0.68133,                0.28588,                 1.9323,                 1.4394,                 1.6878,               0.002476,               0.002476,               0.002476
                     22,                 1.7769,                 1.3129,                 1.5429,                0.75412,                0.63066,                0.66911,                0.26161,                  2.021,                 1.3867,                 1.7324,                0.00208,                0.00208,                0.00208
                     23,                 1.7378,                 1.2532,                 1.5199,                 0.7092,                0.60474,                0.65248,                0.27741,                 1.8791,                 1.3784,                 1.6361,               0.001684,               0.001684,               0.001684
                     24,                 1.7065,                 1.2154,                 1.4955,                0.82859,                0.63561,                0.72233,                0.31468,                 1.8761,                 1.2851,                 1.6237,               0.001288,               0.001288,               0.001288
                     25,                 1.6991,                 1.1879,                 1.4838,                 0.7927,                0.63561,                0.70126,                0.29076,                 1.8889,                 1.3609,                 1.6312,               0.000892,               0.000892,               0.000892
