                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1294,                  1.302,                 1.2346,                0.35333,                0.18547,                0.13911,                0.05701,                    nan,                    nan,                    nan,               0.070017,              0.0033314,              0.0033314
                      2,                 1.9686,                 1.1042,                 1.1711,                0.28757,                0.24697,                0.15047,                0.05852,                    nan,                    nan,                    nan,               0.039753,              0.0064009,              0.0064009
                      3,                 1.8704,                 1.0106,                 1.1355,                0.51453,                0.25932,                0.29357,                 0.1294,                    nan,                    nan,                    nan,              0.0092251,              0.0092063,              0.0092063
                      4,                 1.7885,                0.92896,                 1.1061,                0.38637,                0.29879,                0.22851,                0.10061,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                      5,                 1.7345,                0.88241,                 1.0878,                0.66805,                0.26402,                0.31075,                0.10428,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                      6,                  1.699,                0.85005,                 1.0754,                0.39336,                0.27966,                0.21906,                 0.0795,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                      7,                 1.6583,                0.81994,                  1.062,                0.65325,                0.27064,                0.30464,                0.11531,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                      8,                 1.6276,                0.79388,                 1.0541,                0.48697,                0.26836,                0.26955,                0.12396,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                      9,                 1.6039,                0.77753,                 1.0475,                0.51877,                0.31396,                0.25784,                0.11154,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     10,                 1.5773,                0.75549,                 1.0372,                0.53209,                0.26238,                0.26039,                0.10598,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     11,                  1.558,                0.74241,                 1.0333,                0.37484,                0.28026,                0.21861,                0.09663,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     12,                  1.542,                0.72876,                 1.0278,                0.47568,                0.27107,                0.26605,                0.11214,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     13,                 1.5169,                0.71353,                 1.0213,                0.64608,                0.27862,                0.32296,                0.13234,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     14,                 1.4919,                0.69792,                 1.0154,                0.57077,                0.29501,                0.31322,                0.12119,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     15,                 1.4738,                0.68569,                 1.0082,                0.43969,                0.27304,                0.21068,                0.08388,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     16,                 1.4357,                 0.6501,                 1.0261,                0.62785,                0.22844,                0.26525,                0.11952,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     17,                  1.403,                0.63415,                 1.0154,                0.57669,                0.22056,                0.24447,                0.08925,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                     18,                 1.3911,                0.62536,                 1.0126,                0.61373,                0.24352,                0.27105,                0.09597,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                     19,                 1.3654,                0.61065,                 1.0052,                0.44078,                0.23844,                0.18685,                0.07209,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     20,                 1.3431,                0.59852,                0.99946,                0.53594,                0.23467,                0.22388,                0.09432,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     21,                  1.327,                0.58672,                0.99391,                0.52746,                0.21269,                0.20376,                 0.0872,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     22,                 1.3072,                 0.5758,                0.98845,                0.56231,                0.21581,                0.22281,                  0.082,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                     23,                 1.2876,                0.56463,                0.98392,                0.60248,                0.20367,                0.22528,                 0.0701,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                     24,                 1.2726,                0.55626,                0.97844,                0.49578,                0.20482,                0.19167,                0.06642,                    nan,                    nan,                    nan,               0.000892,               0.000892,               0.000892
                     25,                 1.2547,                0.54612,                0.97413,                0.58658,                 0.2008,                 0.2119,                0.07959,                    nan,                    nan,                    nan,               0.000496,               0.000496,               0.000496
